1661933708.451944: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933709.452067: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933710.452174: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933711.452272: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933712.452443: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933713.452600: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933714.452701: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933715.452889: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933716.453056: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933717.453206: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933718.453428: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933719.453685: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933720.453838: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933721.453938: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933722.454019: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933723.454116: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933724.454285: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933725.454441: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933726.454540: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933727.454644: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933728.454740: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933729.454840: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933730.454936: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933731.455030: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933732.455124: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
1661933733.144493: bus FAKE, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 0.31% 24.85mb, gtt 0.14% 11.77mb, mclk 20.88% 0.167ghz, sclk 1.64% 0.026ghz
